企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
BULK HOMME,https://bulk.co.jp/lp/mens-skincare/,Meta,メンズスキンケア通販（D2C）,,,急成長D2Cブランド
スカルプD（アンファー）,https://www.angfa.jp/scalp-d/lp/,Meta,育毛・スカルプケア通販,,,年商200億規模・中堅
SIXPAD（MTG）,https://sixpad.mtg.co.jp/lp/,Meta,EMS健康器具通販,,,MTG社・フィットネス器具D2C
ReFa（MTG）,https://refa.mtg.co.jp/lp/,Meta,美容家電通販（D2C）,,,MTG社・ローラー型美容器
ヤーマン,https://jp.yaman.com/pages/lp,Meta,美容家電通販,,,上場・美容器EC中堅
メンズクリア,https://mens-clear.com/lp/,Meta,メンズ脱毛サロン,,,全国130店舗・急成長
東京美容外科,https://www.tkc110.jp/lp/,Meta,美容クリニック,,,全国19院
共立美容外科,https://www.kyoritsu-biyougeka.com/lp/,Meta,美容クリニック,,,全国35院超
クレアクリニック,https://www.crea-clinic.com/lp/,Meta,美容クリニック,,,全国15院・成長中
Dクリニック,https://www.d-clinic.co.jp/lp/,Meta,AGA・薄毛クリニック,,,男性専門・全国30院
わかばクリニック,https://www.wakaba-cl.com/lp/,Meta,AGA治療クリニック,,,中規模・オンライン対応
脱毛ラボ ホームエディション,https://datsumo-labo.com/lp/home/,Meta,家庭用脱毛器通販（D2C）,,,急成長D2Cブランド
ナリス化粧品,https://www.naris.co.jp/shop/lp/,Meta,化粧品通販（D2C）,,,創業80年・直販強化中
銀座ステファニー化粧品,https://www.ginzastefany.co.jp/lp/,Meta,化粧品通販（D2C）,,,通販歴40年・中堅D2C
BOTANIST（ボタニスト）,https://botanist-official.com/lp/,Meta,シャンプー・ヘアケア通販（D2C）,,,急成長D2Cブランド
MEDULLA（メデュラ）,https://medulla.co.jp/lp/,Meta,パーソナライズシャンプー（D2C）,,,D2Cサブスク型・急成長
haru kurokami,https://haru-kurokami.jp/lp/,Meta,ノンシリコンシャンプー通販（D2C）,,,急成長D2Cブランド
Minon（ミノン）,https://minon.jp/lp/,Meta,敏感肌スキンケア通販,,,第一三共ヘルスケア系
