企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
Z会,https://www.zkai.co.jp/lp/el/,Meta,通信教育（小中高大）,,,上場・全国展開・合格実績強み
河合塾マナビス,https://www.manavis.com/lp/,Meta,大学受験映像授業FC,,,全国400校超・FC展開
東進衛星予備校,https://www.toshin.com/lp/,Meta,予備校FC,,,全国1000校超・FC展開
城南コベッツ,https://covez.jp/lp/,Meta,個別指導塾FC,,,全国展開・成長中
ウィザス（個太郎塾）,https://www.wizus.co.jp/lp/,Meta,個別指導塾FC,,,近畿中心全国展開・上場
TAC（資格の学校）,https://www.tac-school.co.jp/lp/,Meta,資格スクール（公認会計士・税理士等）,,,上場・全国展開
LEC東京リーガルマインド,https://www.lec-jp.com/lp/,Meta,資格スクール（司法書士・宅建等）,,,全国展開・中堅
アビタス,https://www.abitus.co.jp/lp/,Meta,USCPA・国際会計資格スクール,,,ニッチ特化・急成長
フィットイージー,https://fit-easy.co.jp/campaign/,Meta,24時間フィットネスジムFC,,,全国80店超・急成長FC
B-monster（ビーモンスター）,https://bmonster.jp/lp/,Meta,暗闇バイクフィットネス,,,都市部15スタジオ・急成長
メガロス,https://www.megalos.co.jp/lp/,Meta,フィットネスクラブ,,,首都圏30施設・中堅
スポーツクラブアクトス,https://www.actus-sports.co.jp/lp/,Meta,フィットネスクラブFC,,,東海中心・全国展開
ホリデイスポーツクラブ,https://www.holiday-sc.com/lp/,Meta,フィットネスクラブFC,,,東海中心全国展開
MOTAカーリース,https://mota.jp/car-lease/lp/,Meta,カーリース比較サービス,,,急成長・比較プラットフォーム
SOMPOで乗ーる,https://www.sompodrive.jp/lp/,Meta,サブスク型カーリース,,,SOMPO系・成長中
カーコンビニ倶楽部,https://carcon.jp/lp/,Meta,車修理・板金塗装FC,,,全国2000店超
キーパーラボ,https://keeperlab.com/lp/,Meta,車コーティング専門FC,,,全国400店超・急成長
SRE不動産,https://sre-realty.co.jp/lp/,Meta,AI活用不動産売却,,,ソニーグループ・上場
プロパティエージェント,https://www.propertyagent.co.jp/lp/,Meta,不動産投資（マンション）,,,上場企業
日本財託,https://www.nihonzaitaku.co.jp/lp/,Meta,中古区分マンション投資,,,中古投資特化・中堅
CREAL（クリアル）,https://creal.jp/lp/,Meta,不動産クラウドファンディング,,,上場・成長中
アパマンショップ,https://www.apaman.jp/lp/,Meta,賃貸仲介FC,,,全国900店超・FC展開
センチュリー21,https://www.century21.co.jp/lp/,Meta,不動産売買仲介FC,,,全国1000店超
ピタットハウス,https://www.pitatthome.jp/lp/,Meta,賃貸仲介FC,,,スターツ系・全国展開
オリックス生命,https://www.orix.co.jp/life/lp/,Meta,生命保険（ネット完結）,,,上場・外資系中堅
ネオファースト生命,https://www.neo1st.co.jp/lp/,Meta,ネット専業生命保険,,,成長中・ネット完結
メットライフ生命,https://www.metlife.co.jp/lp/,Meta,外資系生命保険,,,外資系・中規模
アクサ生命,https://www.axa.co.jp/lp/,Meta,外資系生命保険,,,外資系・中規模
イーデザイン損保,https://www.e-design.co.jp/car/lp/,Meta,ネット自動車保険,,,東京海上グループ
楽天損保,https://hoken.rakuten.co.jp/lp/,Meta,ネット損害保険,,,楽天グループ
Green（IT転職）,https://www.green-japan.com/lp/,Meta,IT転職特化求人,,,上場・急成長
Findy（フィンディ）,https://findy.jp/lp/,Meta,エンジニア転職特化,,,急成長スタートアップ
ミイダス,https://miidas.jp/lp/,Meta,適性検査型転職サービス,,,パーソル系
dodaX,https://doda-x.jp/lp/,Meta,ハイクラス転職サービス,,,パーソル系
Re就活,https://re-katsu.jp/career/lp/,Meta,第二新卒・既卒転職特化,,,若者転職特化・中堅
マイナビ転職,https://tenshoku.mynavi.jp/lp/,Meta,総合転職求人,,,マイナビ系・大手
I-primo（アイプリモ）,https://www.i-primo.co.jp/lp/,Meta,婚約指輪・結婚指輪専門店,,,全国70店超
銀座ダイヤモンドシライシ,https://sdsh.jp/lp/,Meta,婚約指輪・ダイヤモンド専門,,,全国50店超
ブリリアンスプラス,https://www.brilliance.co.jp/lp/,Meta,ダイヤモンドジュエリーEC,,,D2C成長中
ラヴィファクトリー,https://lvsfy.com/lp/,Meta,フォトウェディング,,,全国展開・成長中
サンマリエ,https://www.sunmarie.co.jp/lp/,Meta,結婚相談所,,,全国展開・中堅
ツヴァイ（ZWEI）,https://www.zwei.com/lp/,Meta,結婚相談所,,,パーソル系・全国
youbride（ユーブライド）,https://youbride.jp/lp/,Meta,婚活マッチングサイト,,,IBJ系・中堅
三ツ星ファーム,https://mitsuboshi-farm.com/lp/,Meta,冷凍健康食D2C,,,急成長D2Cブランド
わんまいる,https://wanmile.com/lp/,Meta,冷凍惣菜宅配D2C,,,成長中D2C
ウェルネスダイニング,https://wellness-dining.com/lp/,Meta,糖質制限宅配弁当,,,管理栄養士監修D2C
筋肉食堂DELI,https://deli.kinniku-shokudo.com/lp/,Meta,高タンパク食宅配D2C,,,急成長D2C
北の達人コーポレーション,https://www.kitanotatsujin.com/lp/,Meta,D2C健康食品・化粧品,,,上場・D2C特化
CaSy（カジー）,https://casy.co.jp/lp/,Meta,家事代行マッチング,,,急成長スタートアップ
タスカル,https://taskaru.com/lp/,Meta,家事代行マッチング,,,成長中
モグワン,https://mogwan.jp/lp/,Meta,ドッグフードD2C,,,急成長D2Cブランド
ブッチ（Butch）,https://butch-japan.jp/lp/,Meta,ドッグフードD2C（NZ発）,,,日本でも急成長
キッズライン,https://kidsline.me/lp/,Meta,ベビーシッターマッチング,,,上場企業
ポピー,https://www.popy.jp/lp/,Meta,幼児～小学生通信教育,,,中堅・成長中
HANA ORGANIC,https://hanaorganic.com/lp/,Meta,オーガニックコスメD2C,,,急成長D2C
草花木果（そうかもっか）,https://souka-mokka.com/lp/,Meta,植物系スキンケアD2C,,,成長中D2C
ベルタ,https://belta.co.jp/lp/,Meta,産後・ボディケアD2C,,,急成長D2C
オーガランド,https://oagland.co.jp/lp/,Meta,サプリ・健康食品通販D2C,,,急成長D2C
IGNIS（イグニス）,https://ignis.co.jp/lp/,Meta,機能性スキンケアD2C,,,成長中D2C
AMPLEUR（アンプルール）,https://www.ampleur.com/lp/,Meta,高機能スキンケアD2C,,,百貨店・EC両展開
銀座カラー,https://ginzacolor.co.jp/lp/,Meta,痩身エステFC,,,全国展開・急成長
シロノクリニック,https://www.shiro-clinic.com/lp/,Meta,美容皮膚科クリニック,,,全国7院・老舗上場グループ
ガーデンクリニック,https://garden-clinic.com/lp/,Meta,医療脱毛クリニック,,,全国展開・成長中
水の森美容クリニック,https://mizunomori.jp/lp/,Meta,豊胸・美容外科クリニック,,,全国15院展開
東京イセアクリニック,https://www.isea-clinic.com/lp/,Meta,美容外科・美容皮膚科,,,都市部展開
BUYMA（バイマ）,https://www.buyma.com/lp/,Meta,海外ブランドECマーケット,,,上場企業
スノーピーク,https://www.snowpeak.co.jp/lp/,Meta,アウトドア用品D2C,,,上場・FC店舗展開
LOGOS（ロゴス）,https://www.logos-shop.jp/lp/,Meta,アウトドア用品EC,,,中堅・成長中
Techgym（テックジム）,https://techgym.jp/lp/,Meta,プログラミングスクール,,,現役エンジニア講師・成長中
KENスクール,https://www.ken-school.com/lp/,Meta,IT技術スクール（設計・CAD等）,,,全国展開・中堅
IIJmio,https://www.iijmio.jp/lp/,Meta,MVNO格安SIM,,,IIJ運営・上場
BIGLOBEモバイル,https://mobile.biglobe.ne.jp/lp/,Meta,MVNO格安SIM,,,KDDIグループ
nuroモバイル,https://mobile.nuro.jp/lp/,Meta,MVNO格安SIM,,,ソニーグループ
ランドマーク税理士法人,https://www.landmark-tax.com/lp/,Meta,相続税特化税理士,,,首都圏中堅・相続特化
ファミリー引越センター,https://www.family-hikkoshi.co.jp/lp/,Meta,引越しFC,,,全国展開・中堅
アリさんマークの引越社,https://hikkoshi-arisa.com/lp/,Meta,引越しFC,,,全国展開・中堅
リネアストラ,https://www.linea-stra.jp/lp/,Meta,宅配クリーニング,,,成長中・D2C
るるぶトラベル,https://travel.rurubu.jp/lp/,Meta,国内旅行予約（JTB系）,,,JTBグループ
ニチイ学館,https://www.nichiigakkan.co.jp/lp/,Meta,介護・医療・語学FC,,,上場・全国展開
マリッシュ,https://www.marrys.co.jp/lp/,Meta,再婚・シングル婚活マッチング,,,成長中・ニッチ特化
ミキハウス,https://www.mikihouse.co.jp/lp/,Meta,子ども服・育児用品D2C,,,上場・百貨店・EC展開
カシワバラ・コーポレーション,https://www.kashiwabara.co.jp/lp/,Meta,外壁塗装・リフォームFC,,,全国展開
