企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
URBAN RESEARCH（アーバンリサーチ）,https://www.urban-research.jp/,Meta,ファッション,,,"全国200店超のセレクトショップFC、Meta動画広告積極出稿"
TOMORROWLAND（トゥモローランド）,https://www.tomorrowland.co.jp/,Meta,ファッション,,,"都市型セレクトショップ全国展開、Instagram広告多数"
natural couture（ナチュラルクチュール）,https://www.naturalcouture.com/,Meta,ファッション通販,,,"20〜30代女性向けレディースファッションEC、D2C"
ketty（ケティ）,https://www.ketty.jp/,Meta,ファッション通販,,,"30〜40代大人女性向けファッション通販、Instagram広告強化"
LAISSE PASSE（レッセパッセ）,https://www.laissepasse.net/,Meta,ファッション通販,,,"40代大人女性向けファッション通販ブランド"
STUDIOUS（ステュディオス）,https://studious.co.jp/,Meta,ファッション,,,"都市型メンズ・レディースセレクトショップ、全国20店以上"
RINXメンズ脱毛（リンクス）,https://rinx.co.jp/,Meta,美容・脱毛,,,"メンズ脱毛専門サロン、全国100店超FC展開、Meta広告積極投資"
恋肌（こいはだ）,https://www.koihada.com/,Meta,美容・脱毛,,,"女性向け脱毛サロン全国展開、低価格帯"
アリシアクリニック,https://www.alicia-clinic.com/,Meta,美容クリニック,,,"医療脱毛クリニック、都市部中心に全国展開"
マナリンク,https://manalink.jp/,Meta,教育,,,"オンライン家庭教師マッチングプラットフォーム、成長D2C"
家庭教師ファースト,https://katekyo-first.jp/,Meta,教育,,,"全国対応家庭教師マッチング、Meta広告で集客"
RISU Japan（リス）,https://www.risu-japan.com/,Meta,教育,,,"算数特化タブレット教材D2C、AI学習"
コペルEnglish（コペル英会話）,https://www.copel.co.jp/,Meta,教育・英会話,,,"子ども向け英会話スクールFC、全国展開"
富士学院,https://www.fuji-gakuin.com/,Meta,教育・予備校,,,"医学部専門予備校、個別指導・全寮制、都市部複数拠点"
RIZEジム,https://rizegym.jp/,Meta,フィットネス・格闘技,,,"MMA・キックボクシングジム全国展開、男女向け"
しまうまプリント,https://www.n-pri.jp/,Meta,フォトサービス,,,"格安フォトブック・写真プリント通販、低価格D2C"
ノハナ（nohana）,https://nohana.jp/,Meta,フォトサービス,,,"月1冊無料フォトブックアプリ、スマホ完結"
アルバス（ALBUS）,https://albus.ink/,Meta,フォトサービス,,,"写真プリント定期便アプリ、8枚/月無料サービス"
skyticket（スカイチケット）,https://skyticket.jp/,Meta,旅行,,,"格安航空券・ホテル予約サービス、Meta広告強化中"
Trip.com（トリップドットコム）,https://jp.trip.com/,Meta,旅行,,,"グローバル旅行予約サービス、日本市場向け広告展開"
Klook（クルック）,https://www.klook.com/ja/,Meta,旅行・体験,,,"アジア発アクティビティ・体験予約サービス"
NOCE（ノーチェ）,https://www.noce.co.jp/,Meta,インテリア,,,"自然素材インテリア・家具EC、D2C"
iDog（アイドッグ）,https://www.idog.co.jp/,Meta,ペット,,,"犬猫服・用品EC、オリジナルブランド展開"
ペッツファースト,https://www.petsfirst.jp/,Meta,ペット,,,"ペットショップFC、全国展開"
グローバル・リンク・マネジメント,https://www.global-link-m.com/,Meta,不動産投資,,,"東京23区投資用マンション、上場企業"
トーシンパートナーズ,https://www.toshin.com/,Meta,不動産投資,,,"首都圏投資用マンション、Meta広告積極出稿"
プレサンスコーポレーション,https://www.pressance.co.jp/,Meta,不動産,,,"関西圏マンション分譲、投資用も展開"
クラウドリアルティ,https://www.crowdrealty.com/,Meta,不動産投資,,,"不動産クラウドファンディング、小口投資"
スウェーデンハウス,https://www.swedenhouse.co.jp/,Meta,住宅,,,"スウェーデン輸入住宅メーカー、全国FC展開"
BESS（ビレッジアールデザイン）,https://www.bess.jp/,Meta,住宅,,,"ログハウス・自然素材住宅ブランド、全国FC"
セルコホーム,https://www.selcohome.co.jp/,Meta,住宅,,,"カナダ産輸入住宅、全国加盟店展開"
みんなの銀行,https://www.minna-no-ginko.com/,Meta,金融・銀行,,,"スマホ完結型ネット銀行、20〜30代向けSNS広告積極展開"
ダイアン（Diane）,https://www.diane-haircare.jp/,Meta,ヘアケア,,,"ヘアケアブランドEC、Instagram広告強化中"
ウテナ（UTENA）,https://www.utena.co.jp/,Meta,化粧品,,,"スキンケア・ヘアケア中堅メーカー、D2C強化"
INIC coffee（イニックコーヒー）,https://inic-coffee.com/,Meta,食品EC,,,"スティックコーヒー通販D2C、Instagram広告多数"
八天堂（はってんどう）,https://www.hattendo.jp/,Meta,食品EC,,,"クリームパン・スイーツ通販EC、全国展開"
リコーべ,https://ricobe.com/,Meta,クリーニング,,,"宅配クリーニングEC、Meta広告で認知拡大中"
y.u mobile,https://www.y-u-mobile.com/,Meta,通信・格安SIM,,,"TSUTAYA運営の格安SIM、Meta広告展開"
Unlace（アンレース）,https://unlace.net/,Meta,メンタルヘルス,,,"テキスト型オンラインカウンセリング、スタートアップ"
フライトゴルフ,https://flightgolf.jp/,Meta,ゴルフ,,,"インドアゴルフ・シミュレーターFC展開"
ゴルフネットワーク,https://www.golfnetwork.co.jp/,Meta,ゴルフ,,,"ゴルフ専門TVチャンネル・動画レッスン会員"
司法書士法人中央事務所,https://www.chuo-jimusho.com/,Meta,法律,,,"過払い金・債務整理専門、全国対応"
じぶんdeクリニック,https://jibunde-clinic.com/,Meta,医療・オンライン診療,,,"ED・AGA等オンライン診療クリニック"
Awarefy（アウェアファイ）,https://awarefy.com/,Meta,メンタルヘルス,,,"CBT（認知行動療法）型メンタルヘルスアプリD2C"
HELPO（ヘルポ）,https://helpo.jp/,Meta,医療,,,"24時間オンライン医療・健康相談サービス"
ケイウノ（K.UNO）,https://k-uno.co.jp/,Meta,ジュエリー,,,"オーダーメイド婚約・結婚指輪専門、全国30店以上"
MECHAKARI（メチャカリ）,https://mechakari.com/,Meta,ファッション,,,"レディースファッションサブスクリプション"
dretec（ドリテック）,https://www.dretec.co.jp/,Meta,家電,,,"キッチン・生活家電EC、D2C"
個別指導WAM,https://www.katekyo-wam.com/,Meta,教育,,,"個別指導塾FC、全国400教室以上"
スタディプラス,https://studyplus.jp/,Meta,教育,,,"学習管理アプリ・オンライン教育プラットフォーム、学生向けSNS広告"
gelato pique（ジェラートピケ）,https://gelatopique.com/,Meta,ファッション,,,ルームウェア・ライフスタイルブランド全国100店超
SNIDEL（スナイデル）,https://snidel.com/,Meta,ファッション,,,20〜30代女性向けガーリーファッション
MERCURYDUO（マーキュリーデュオ）,https://www.mercuryduo.com/,Meta,ファッション通販,,,レディースファッション通販Instagram広告積極出稿
dazzlin（ダズリン）,https://www.dazzlin.co.jp/,Meta,ファッション通販,,,10〜20代向けガーリーファッション通販
ROJITA（ロジータ）,https://www.rojita.com/,Meta,ファッション通販,,,20〜30代女性ファッション通販
Leeap（リープ）,https://leeap.jp/,Meta,ファッションサブスク,,,メンズファッションサブスクスタイリスト選定
ANAP（アナップ）,https://www.anap.co.jp/,Meta,ファッション通販,,,10〜20代ストリートファッション通販
INGNI（イング）,https://www.ingni.com/,Meta,ファッション通販,,,レディースカジュアルファッション通販
WEGO（ウィゴー）,https://we-go.jp/,Meta,ファッション,,,ストリート系ファッション全国100店超
JOUETIE（ジュエティ）,https://jouetie.com/,Meta,ファッション通販,,,ガーリーフェミニンファッションEC
ホワイトエッセンス,https://www.white-essence.com/,Meta,ホワイトニング,,,ホワイトニングサロンFC全国150店超
アテニア（ATTENIR）,https://www.attenir.co.jp/,Meta,コスメ通販,,,高機能エイジングケアスキンケアD2C
pdc（パシフィック東京）,https://www.pdc.co.jp/,Meta,コスメ通販,,,ワフードメイド等スキンケアD2C
アスタリフト（ASTALIFT）,https://astalift.jp/,Meta,コスメ通販,,,富士フイルム系エイジングケア通販D2C
KINS（キンズ）,https://kins.co.jp/,Meta,スキンケアD2C,,,美肌菌ケアスキンケアD2C定期購入
PLUNKIT（プランキット）,https://plunkit.jp/,Meta,スキンケアD2C,,,カスタマイズスキンケアD2C
ナールスゲン,https://nalcsgene.com/,Meta,スキンケアD2C,,,エイジングケア化粧品通販D2C
MEDIHEAL（メディヒール）,https://mediheal.jp/,Meta,コスメ通販,,,韓国発フェイスパック専門EC
EXPA（エクスパ）,https://expa.jp/,Meta,フィットネス,,,パーソナルジムFC全国展開
LES MILLS（レスミルズ）,https://www.lesmills.com/ja/,Meta,フィットネス,,,グループエクサイズプログラム全国スタジオ
LUXA（ルクサ）,https://luxa.jp/,Meta,旅行・ホテル,,,高級ホテル・スパの割引サービス
ルタオ（LeTAO）,https://www.letao.jp/,Meta,食品EC,,,北海道スイーツ通販EC
PRESS BUTTER SAND,https://press-buttersand.com/,Meta,食品EC,,,バタースイーツ専門ECギフト需要高
鎌倉紅谷,https://www.beniyas.com/,Meta,食品EC,,,鎌倉クルミッ子スイーツ通販EC
東京ミルクチーズ工場,https://www.tokyomilkcheese.jp/,Meta,食品EC,,,チーズスイーツ専門ECギフト
INIC coffee（イニックコーヒー）,https://inic-coffee.com/,Meta,食品EC,,,スティックコーヒー通販D2C
MUSASHI（ムサシ）,https://www.musashilaboratories.com/,Meta,スポーツサプリ,,,国産スポーツサプリD2Cアスリート向け
カラダノート,https://www.karadanote.jp/,Meta,ヘルスケア,,,健康・育児記録アプリ妊活〜育児層
そろタッチ,https://sorouch.jp/,Meta,教育,,,そろばん式算数タブレット学習アプリD2C
GLOBAL CROWN（グローバルクラウン）,https://globalcrown.com.au/ja/,Meta,教育・英会話,,,子ども向けオンライン英会話外国人講師
家庭教師のあすなろ,https://www.katekyo.co.jp/,Meta,教育,,,全国対応家庭教師派遣低価格帯
まなぶてらす,https://www.manatera.com/,Meta,教育,,,オンライン習い事マッチング多ジャンル
ライフシフトラボ,https://lifeshift-lab.com/,Meta,キャリアコーチング,,,40〜50代向けキャリアコーチング
ポジウィルキャリア,https://posiwill.co.jp/,Meta,キャリアコーチング,,,20〜30代向けキャリアコーチング
MENTO（メント）,https://mento.co.jp/,Meta,ビジネスコーチング,,,ビジネスパーソン向けオンラインコーチング
サマリーポケット,https://sumally.com/,Meta,収納サービス,,,スマホ管理できるモノの保管収納サービス
CARAETO（キャラエト）,https://caraeto.com/,Meta,収納サービス,,,トランクルーム型保管EC
インテリックス,https://www.intellex.co.jp/,Meta,不動産,,,中古マンションリノベーション再生販売 上場企業
FJネクスト,https://www.fjnext.com/,Meta,不動産投資,,,東京圏投資用マンション上場企業
アエラホーム,https://aerahome.com/,Meta,住宅,,,注文住宅FC全国加盟店展開
ロイヤルハウス,https://www.royalhouse.co.jp/,Meta,住宅,,,注文住宅FC全国150社加盟
PEPPY（ペッピー）,https://www.peppynet.com/,Meta,ペット,,,ペット用品・犬猫服専門EC
アンジェリーベ,https://www.angeliebe.co.jp/,Meta,マタニティ・ベビー,,,マタニティ・授乳服専門EC
モモナチュラル,https://www.momo-natural.co.jp/,Meta,ベビー家具,,,ベビー・子ども家具専門EC
ネクシー,https://www.laundry-nexcy.com/,Meta,クリーニング,,,宅配クリーニング保管サービスEC
弁護士法人ALG,https://www.alg-j.com/,Meta,法律,,,労働問題・交通事故等全国対応弁護士法人
ミカタグループ,https://mikata-group.jp/,Meta,法律・保険,,,弁護士費用保険・法的サポートサービス
VANDLE CARD（バンドルカード）,https://vandle.jp/,Meta,フィンテック,,,即時発行プリペイドVISAカード若年層向け
B/43（ビーヨンサン）,https://b43.jp/,Meta,フィンテック,,,家計管理連動プリペイドカード
ウテナ（UTENA）,https://www.utena.co.jp/,Meta,コスメ通販,,,中堅スキンケア・ヘアケア通販ブランド
