企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
富国生命,https://www.fukoku-life.co.jp/lp/,Meta,生命保険（中堅）,,,国内中堅生保
太陽生命,https://www.taiyo-seimei.co.jp/lp/,Meta,生命保険（中堅）,,,大同生命グループ
CAPTAIN STAG（キャプテンスタッグ）,https://www.captainstag.net/lp/,Meta,アウトドア用品EC,,,パール金属・国内アウトドアEC中堅
京進スクール・ワン,https://school-one.jp/lp/,Meta,個別指導塾FC,,,全国展開・急成長FC
個別指導塾スタンダード,https://www.standard-i.com/lp/,Meta,個別指導塾FC,,,全国展開・成長中FC
ポラスグループ,https://www.polus.co.jp/lp/,Meta,注文住宅・分譲マンション,,,埼玉中心・中堅上場
ヤマダホームズ,https://yamadahomes.jp/lp/,Meta,注文住宅,,,ヤマダホールディングス系
クレバリーホーム,https://www.cleverlyhome.com/lp/,Meta,注文住宅FC,,,全国展開・成長中FC
配食のふれ愛,https://www.haishoku-fureai.com/lp/,Meta,高齢者向け宅配弁当FC,,,全国展開・急成長FC
ニチレイフーズダイレクト,https://www.nichireifoodsdirect.jp/lp/,Meta,冷凍食品通販D2C,,,ニチレイグループ・D2C強化
MARKS&WEB（マークスアンドウェブ）,https://www.marksandweb.com/lp/,Meta,ハーバルコスメD2C,,,成長中D2C
アユーラ（AYURA）,https://www.ayura.co.jp/lp/,Meta,アロマスキンケアD2C,,,資生堂系・成長中
IPSA（イプサ）,https://www.ipsa.co.jp/lp/,Meta,スキンケアD2C,,,資生堂系・EC強化中
リサージ（LISSAGE）,https://www.lissage.jp/lp/,Meta,スキンケアD2C,,,カネボウ系・成長中
バイクブロス,https://www.bikebros.co.jp/lp/,Meta,バイク情報・EC,,,成長中プラットフォーム
ツクイ,https://www.tsukui.net/lp/,Meta,デイサービス・介護FC,,,上場・全国展開
日本旅行（NTA）,https://www.nta.co.jp/lp/,Meta,パッケージ旅行,,,JR西日本グループ・中堅
CALDO（カルド）,https://www.caldo-yoga.com/lp/,Meta,ホットヨガFC,,,全国展開・急成長FC
Crowd Credit（クラウドクレジット）,https://crowdcredit.jp/lp/,Meta,海外投資クラウドファンディング,,,上場・急成長フィンテック
Funds（ファンズ）,https://funds.jp/lp/,Meta,貸付型クラウドファンディング,,,急成長フィンテック
Joshin（ジョーシン）,https://joshinweb.jp/lp/,Meta,家電EC,,,上場・関西中心
STAY JAPAN,https://stayjapan.com/lp/,Meta,農泊・民泊マッチング,,,成長中プラットフォーム
明日の介護スクール,https://ashita-kaigo.jp/lp/,Meta,介護資格スクール,,,成長中・介護特化
カイゴジョブアカデミー,https://kaigojob-academy.com/lp/,Meta,介護資格取得支援,,,成長中
ニッコー・トラベル,https://www.nikko-travel.co.jp/lp/,Meta,パッケージ旅行（中堅）,,,中堅旅行会社
東京個別指導学院,https://www.tkg.ac.jp/lp/,Meta,個別指導塾FC,,,ベネッセ系・首都圏上場
ITTO個別指導学院,https://www.itto.jp/lp/,Meta,個別指導塾FC,,,全国展開・中堅FC
キャリアリンク,https://www.career-link.co.jp/lp/,Meta,事務系人材派遣,,,上場・全国展開
フォーラムエンジニアリング,https://www.forum-eng.co.jp/lp/,Meta,技術系人材派遣,,,上場企業
UTグループ,https://www.ut-g.co.jp/lp/,Meta,製造・物流系人材派遣,,,上場・全国展開
テクノプロ,https://www.technoproholdings.com/lp/,Meta,技術者派遣・エンジニア採用,,,上場・大手技術派遣
GRL（グレイル）,https://grail.jp/lp/,Meta,低価格アパレルEC,,,急成長D2C・女性向け
DHOLIC（ディーホリック）,https://www.dholic.co.jp/lp/,Meta,韓国ファッションEC,,,急成長D2C
earth music&ecology,https://www.earth-music.jp/lp/,Meta,アパレルEC,,,ストライプインターナショナル系・中堅
フランスベッド,https://www.francebed.co.jp/lp/,Meta,高機能ベッドD2C,,,上場・医療・福祉分野展開
ファインラボ（Fine Lab）,https://www.fine-lab.jp/lp/,Meta,スポーツサプリD2C,,,急成長D2C
UHA味覚糖（グミサプリ）,https://uha-mikakuto.co.jp/lp/,Meta,ビタミングミD2C,,,機能性菓子D2C・急成長
リプサ（Lipusa）,https://www.lipusa.jp/lp/,Meta,サプリ通販D2C,,,急成長D2C
コンビ,https://www.combi.co.jp/lp/,Meta,ベビー用品D2C,,,上場・全国展開
ウォータースタンド,https://waterstand.jp/lp/,Meta,浄水型ウォーターサーバー,,,成長中・サブスク型
住信SBIネット銀行,https://www.netbk.co.jp/lp/,Meta,ネット銀行,,,SBI系・上場
エキサイトモバイル,https://mobile.excite.co.jp/lp/,Meta,MVNO格安SIM,,,エキサイト系
ヴォーグ美容外科,https://www.vogue-bc.com/lp/,Meta,美容外科クリニック,,,全国展開・成長中
ファイントラック（finetrack）,https://www.finetrack.com/lp/,Meta,アウトドアウェアD2C,,,国産機能性ウェア特化
山と道（yamatomichi）,https://www.yamatomichi.com/lp/,Meta,ULアウトドアギアD2C,,,急成長ニッチD2C
ROOTOTE（ルートート）,https://shop.rootote.com/lp/,Meta,エコバッグ・雑貨EC,,,成長中D2C
COCOONIST（ここにすと）,https://www.cocoonist.jp/lp/,Meta,バッグ・ファッション小物EC,,,成長中D2C
ファシオ（FASIO）,https://www.fasio.jp/lp/,Meta,マスカラ・コスメD2C,,,コーセーグループ・EC強化
WHOMEE（フーミー）,https://whomee.com/lp/,Meta,コスメD2C,,,急成長D2Cコスメ
Fieldoor（フィールドア）,https://fieldoor.com/lp/,Meta,アウトドア用品D2C,,,急成長D2Cブランド
中萬学院,https://www.chuman.co.jp/lp/,Meta,学習塾FC,,,神奈川中心・全国展開
湘南ゼミナール,https://www.shozemi.com/lp/,Meta,学習塾FC,,,関東中心・成長中FC
日神不動産,https://www.nisshin.jp/lp/,Meta,不動産分譲（マンション）,,,首都圏・中堅
シニアのあんしん相談室,https://www.ansinkaigo.jp/lp/,Meta,老人ホーム紹介・マッチング,,,成長中プラットフォーム
ORIX自動車,https://www.orix-auto.jp/lp/,Meta,カーリース,,,ORIX系・上場グループ
KINTO（キント）,https://kinto-jp.com/lp/,Meta,トヨタカーサブスク,,,トヨタグループ・急成長
Mr.CHEESECAKE,https://mrcheesecake.com/lp/,Meta,スイーツD2C,,,急成長D2Cブランド
ル・クルーゼ（Le Creuset）,https://www.lecreuset.co.jp/lp/,Meta,調理器具D2C（フランス発）,,,急成長D2C
バルミューダ（BALMUDA）,https://www.balmuda.com/lp/,Meta,家電D2C,,,上場・デザイン家電特化
シロカ（siroca）,https://www.siroca.co.jp/lp/,Meta,家電D2C,,,急成長D2Cブランド
テスコム,https://tescom-jp.com/lp/,Meta,美容家電D2C,,,急成長D2C
タニタ,https://www.tanita.co.jp/lp/,Meta,健康機器D2C,,,上場・体重計・健康機器
オムロンヘルスケア,https://www.omron.co.jp/health/lp/,Meta,健康器具D2C,,,オムロン系・上場グループ
カゴメ,https://shop.kagome.co.jp/lp/,Meta,機能性食品D2C（トマトジュース等）,,,上場・EC強化中
セルヴォーク（Celvoke）,https://celvoke.com/lp/,Meta,コスメD2C,,,急成長D2Cコスメ
タイミー（Timee）,https://timee.co.jp/lp/,Meta,スキマバイトマッチング,,,上場・急成長
シェアフル,https://sharefull.com/lp/,Meta,スポットワークマッチング,,,成長中・LINEヤフーグループ
PayPay銀行,https://www.paypaybank.co.jp/lp/,Meta,ネット銀行,,,PayPayグループ・急成長
auじぶん銀行,https://www.jibunbank.co.jp/lp/,Meta,ネット銀行,,,KDDIグループ
セコム,https://www.secom.co.jp/lp/,Meta,ホームセキュリティ,,,上場・全国展開
ALSOK（綜合警備保障）,https://www.alsok.co.jp/lp/,Meta,ホームセキュリティ,,,上場・全国展開
