企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
楽天証券株式会社,https://www.rakuten-sec.co.jp/lp/,Meta,ネット証券,,,楽天グループ・上場
SBIネオトレード証券株式会社,https://www.neotrade.co.jp/lp/,Meta,ネット証券,,,SBIグループ・成長中
楽天生命保険株式会社,https://life.r10.to/lp/,Meta,ネット生命保険,,,楽天グループ
株式会社アドバンスクリエイト（保険市場）,https://www.hoken-ichiba.com/lp/,Meta,保険比較マッチング,,,上場・全国展開
株式会社Wizleap（マネーキャリア）,https://money-career.com/lp/,Meta,FP無料相談オンライン,,,成長中フィンテック
株式会社お金のデザイン（THEO）,https://theo.blue/lp/,Meta,ロボアドバイザー資産運用,,,成長中フィンテック
セゾン投信株式会社,https://www.saison-am.co.jp/lp/,Meta,積み立て投資信託,,,クレディセゾン系
株式会社アイモバイル（ふるなび）,https://furunavi.jp/lp/,Meta,ふるさと納税比較・EC,,,上場・成長中
株式会社CAMPFIRE,https://camp-fire.jp/lp/,Meta,クラウドファンディング,,,成長中プラットフォーム
栄光ホールディングス株式会社（栄光ゼミナール）,https://www.eikou.com/lp/,Meta,個別指導塾FC,,,全国展開・上場
株式会社秀英教育（秀英予備校）,https://www.shuei-yobiko.co.jp/lp/,Meta,学習塾FC,,,静岡・全国展開・上場
学校法人希学園,https://www.kibogakuen.co.jp/lp/,Meta,難関中学受験塾,,,関西難関特化
QQ株式会社（QQEnglish）,https://www.qqeng.com/lp/,Meta,フィリピンオンライン英会話,,,急成長オンライン英会話
産経ヒューマンラーニング株式会社（産経オンライン英会話Plus）,https://english.sankei.co.jp/lp/,Meta,オンライン英会話,,,産経グループ
株式会社インソース,https://www.insource.co.jp/lp/,Meta,企業研修・人材育成,,,上場・急成長
株式会社東大毎日塾,https://meidaimajijuku.com/lp/,Meta,オンライン個別指導（東大生講師）,,,成長中EdTech
医療法人社団高須クリニック,https://www.takasu.co.jp/lp/,Meta,美容外科（全国展開）,,,全国10院以上
医療法人社団リッツ美容外科,https://ritz-cosmetic.jp/lp/,Meta,美容外科FC,,,全国展開・成長中
医療法人社団オザキクリニック,https://www.ozakiclinic.jp/lp/,Meta,美容外科・形成外科,,,都市部展開
品川近視クリニック,https://www.shinagawa.com/lp/,Meta,レーシック・目の手術,,,全国展開・成長中
東京形成美容外科,https://www.tkb-cl.com/lp/,Meta,美容外科・形成外科,,,都市部展開
株式会社ユーグレナ,https://euglena.jp/lp/,Meta,機能性食品・サプリD2C,,,上場・急成長D2C
株式会社ファーマフーズ,https://www.pharmafoods.co.jp/lp/,Meta,卵由来サプリ・健康食品D2C,,,上場
株式会社ビーグレン,https://www.bglen.co.jp/lp/,Meta,スキンケア通販D2C（B.glen）,,,急成長D2C
株式会社やまや,https://www.yamaya.jp/lp/,Meta,酒類・食品通販EC,,,全国展開・中堅
株式会社ルピシア,https://www.lupicia.com/lp/,Meta,紅茶・茶葉通販D2C,,,全国展開・成長中D2C
株式会社パーク・コーポレーション（青山フラワーマーケット）,https://www.aoyamaflowermarket.com/lp/,Meta,フラワーD2C・生花FC,,,全国展開FC
株式会社ファンケル,https://www.fancl.co.jp/lp/,Meta,無添加化粧品・サプリ通販D2C,,,上場・全国展開
株式会社スタイルキューブ（Re:EDIT）,https://re-edit.jp/lp/,Meta,低価格レディースアパレルEC,,,急成長D2C
株式会社チェスティ（CHESTY）,https://chesty.jp/lp/,Meta,レディースアパレルEC,,,成長中D2C
株式会社シップス,https://www.shipsltd.co.jp/lp/,Meta,セレクトショップアパレルEC,,,上場・全国展開
株式会社コナカ（SUIT SELECT）,https://suit-select.jp/lp/,Meta,スーツ・紳士服FC,,,全国展開・上場
メーカーズシャツ鎌倉株式会社,https://www.shirts.co.jp/lp/,Meta,ビジネスシャツD2C,,,成長中D2C
株式会社ベルーナ,https://www.belluna.jp/lp/,Meta,ファッション・生活通販EC,,,上場・全国展開
株式会社セシール,https://www.cecile.co.jp/lp/,Meta,ファッション・雑貨通販,,,中堅通販
株式会社ニッセン,https://www.nissen.co.jp/lp/,Meta,ファッション・家具通販,,,セブン＆アイ系・中堅
株式会社アイスタイル（@cosme SHOPPING）,https://shopping.cosme.net/lp/,Meta,コスメECマーケット,,,上場・急成長
株式会社クルーズ（SHOPLIST）,https://www.shoplist.com/lp/,Meta,低価格ファッションEC,,,上場・急成長EC
Jackery Japan株式会社,https://www.jackery.jp/lp/,Meta,ポータブル電源D2C,,,急成長D2C
EcoFlow Technology Japan株式会社,https://www.ecoflow.com/ja/lp/,Meta,ポータブル電源・蓄電D2C,,,急成長D2C
OPPO Japan株式会社,https://www.oppo.com/jp/lp/,Meta,スマートフォン・スマートウォッチ,,,中規模・成長中
株式会社ノルディスクジャパン（Nordisk）,https://nordisk.jp/lp/,Meta,キャンプ・アウトドア用品D2C,,,急成長D2C
木下工務店株式会社,https://kinoshita-koumuten.co.jp/lp/,Meta,注文住宅,,,全国展開・中堅
ケイアイスター不動産株式会社,https://www.kistar.co.jp/lp/,Meta,戸建て建売・注文住宅,,,上場・成長中
アールプランナー株式会社,https://www.rplanner.jp/lp/,Meta,注文住宅FC（自由設計）,,,全国展開・成長中FC
株式会社スクロール,https://www.scroll.co.jp/lp/,Meta,通販EC（生活用品・ファッション）,,,上場・全国展開
大和リゾート株式会社（ダイワロイヤルホテル）,https://www.daiwa-resort.com/lp/,Meta,リゾートホテル,,,大和ハウスグループ・全国
株式会社チームスミス（ベッセルホテルズ）,https://www.vessel-hotel.jp/lp/,Meta,ビジネスホテルFC,,,全国展開FC
株式会社ビデオマーケット,https://www.videomarket.jp/lp/,Meta,動画配信（月額サブスク）,,,成長中
株式会社フジテレビジョン（FODプレミアム）,https://fod.fujitv.co.jp/lp/,Meta,動画・見逃し配信,,,フジテレビ系
PURE YOGA JAPAN株式会社,https://www.pureyoga.jp/lp/,Meta,高級ヨガスタジオ（都市部）,,,都市部展開・成長中
ランスタッド株式会社,https://www.randstad.co.jp/lp/,Meta,人材派遣・転職（外資系）,,,外資系・全国展開
株式会社ネオキャリア,https://www.neo-career.co.jp/lp/,Meta,人材・IT・医療系転職,,,全国展開・成長中
エムスリーキャリア株式会社,https://career.m3.com/lp/,Meta,医師・医療職転職,,,M3グループ・成長中
株式会社アップル引越センター,https://www.apple-hikkoshi.co.jp/lp/,Meta,引越しFC,,,全国展開・急成長FC
