第一種金融商品取引業者 計291社

ジェフリーズ日本株式会社|関東財務局長(金商)第3517号|03-6743-2100
東海東京証券株式会社|東海財務局長（金商）第140号|052-527-1111
北洋証券株式会社|北海道財務局長（金商）第1号|011-221-8536
ＦＰＬ証券株式会社|北海道財務局長（金商）第45号|011-206-6481
荘内証券株式会社|東北財務局長(金商)第1号|0234-23-6111
山形證券株式会社|東北財務局長(金商)第3号|023-631-7711
七十七証券株式会社|東北財務局長(金商)第37号|022-398-3977
アーク証券株式会社|関東財務局長(金商)第1号|03-5288-8100
株式会社ＳＢＩネオトレード証券|関東財務局長(金商)第8号|03-6635-2860
株式会社アイネット証券|関東財務局長(金商)第11号|03-6812-3333
ＥＶＯＬＵＴＩＯＮ ＪＡＰＡＮ証券株式会社|関東財務局長(金商)第20号|03-4510-3350
八十二証券株式会社|関東財務局長(金商)第21号|0120-73-9682
いちよし証券株式会社|関東財務局長(金商)第24号|03-4346-4500
インヴァスト証券株式会社|関東財務局長(金商)第26号|03-6858-7100
ＧＩキャピタル・マネジメント株式会社|関東財務局長(金商)第27号|03-6256-9500
上田八木証券株式会社|関東財務局長(金商)第29号|03-3270-2845
臼木証券株式会社|関東財務局長(金商)第31号|0294-22-2101
とちぎんTT証券株式会社|関東財務局長(金商)第32号|028-614-5150
エアーズシー証券株式会社|関東財務局長(金商)第33号|03-6225-2747
Jトラストグローバル証券株式会社|関東財務局長(金商)第35号|03-4560-0200
ＳＡＭＵＲＡＩ証券株式会社|関東財務局長(金商)第36号|03-6868-5658
エスピーシー証券株式会社|関東財務局長(金商)第47号|03-6278-5580
ウィブル証券株式会社|関東財務局長(金商)第48号|03-5537-7414
ＰＷＭ日本証券株式会社|関東財務局長(金商)第50号|03-6809-2410
キャピタル・パートナーズ証券株式会社|関東財務局長(金商)第62号|03-4543-1010
共和証券株式会社|関東財務局長(金商)第64号|03-3666-1381
極東証券株式会社|関東財務局長(金商)第65号|03-3667-9171
あかつき証券株式会社|関東財務局長(金商)第67号|03-5641-7800
ＧＣＭインベストメンツ株式会社|関東財務局長(金商)第68号|03-5573-8110
國府証券株式会社|関東財務局長(金商)第70号|0259-57-2215
三晃証券株式会社|関東財務局長(金商)第72号|03-5614-0700
ロックハラード証券株式会社|関東財務局長(金商)第73号|03-6205-4652
FINX J証券株式会社|関東財務局長(金商)第74号|03-6630-2991
ＧＭＯクリック証券株式会社|関東財務局長(金商)第77号|03-6221-0198
リーディング証券株式会社|関東財務局長(金商)第78号|03-3553-2119
大和かんぽオルタナティブインベストメンツ株式会社|関東財務局長(金商)第88号|03-6361-0420
スーパーファンド・ジャパン株式会社|関東財務局長(金商)第98号|03-3508-6700
スターツ証券株式会社|関東財務局長(金商)第99号|03-3686-2511
外為ファイネスト株式会社|関東財務局長(金商)第102号|03-6268-0234
むさし証券株式会社|関東財務局長(金商)第105号|048-644-0634
損保ジャパンＤＣ証券株式会社|関東財務局長(金商)第106号|03-5326-1412
立花証券株式会社|関東財務局長(金商)第110号|03-3669-3111
ちばぎん証券株式会社|関東財務局長(金商)第114号|043-222-1141
日本クラウド証券株式会社|関東財務局長(金商)第115号|03-6447-0011
東武証券株式会社|関東財務局長(金商)第120号|048-754-3182
東洋証券株式会社|関東財務局長(金商)第121号|03-5117-1040
富岡証券株式会社|関東財務局長(金商)第122号|0274-63-1341
トレイダーズ証券株式会社|関東財務局長(金商)第123号|03-6736-9830
長野證券株式会社|関東財務局長(金商)第125号|026-228-3003
中原証券株式会社|関東財務局長(金商)第126号|03-3231-4311
フィリップ証券株式会社|関東財務局長(金商)第127号|03-3666-2101
第四北越証券株式会社|関東財務局長(金商)第128号|0258-35-2211
日産証券株式会社|関東財務局長(金商)第131号|03-4216-1200
ニュース証券株式会社|関東財務局長(金商)第138号|03-5466-1641
ばんせい証券株式会社|関東財務局長(金商)第148号|03-5541-7887
ＤＢＪ証券株式会社|関東財務局長(金商)第149号|03-3275-5301
ひまわり証券株式会社|関東財務局長(金商)第150号|03-6910-3535
フィデリティ証券株式会社|関東財務局長(金商)第152号|03-4560-5000
株式会社ＦＰＧ証券|関東財務局長(金商)第153号|03-5220-4200
武甲証券株式会社|関東財務局長(金商)第154号|0494-24-3611
Plus500JP証券株式会社|関東財務局長(金商)第156号|03-6263-8170
ブラウン・ブラザーズ・ハリマン証券株式会社|関東財務局長(金商)第157号|03-6361-6300
丸國証券株式会社|関東財務局長(金商)第166号|03-3666-0922
丸三証券株式会社|関東財務局長(金商)第167号|03-3238-2200
岡三にいがた証券株式会社|関東財務局長(金商)第169号|0258-35-0290
株式会社証券ジャパン|関東財務局長(金商)第170号|03-3668-2210
三木証券株式会社|関東財務局長(金商)第172号|03-3278-1111
三田証券株式会社|関東財務局長(金商)第175号|03-3666-0011
三菱UFJオルタナティブインベストメンツ株式会社|関東財務局長(金商)第176号|03-6550-8600
水戸証券株式会社|関東財務局長(金商)第181号|03-6739-0310
みらい證券株式会社|関東財務局長(金商)第182号|03-5422-1080
明和證券株式会社|関東財務局長(金商)第185号|03-6891-1500
インタラクティブ・ブローカーズ証券株式会社|関東財務局長(金商)第187号|03-4588-9701
山二証券株式会社|関東財務局長(金商)第189号|03-3666-1151
山和証券株式会社|関東財務局長(金商)第190号|03-3668-5411
リクイドネット証券株式会社|関東財務局長(金商)第198号|03-5579-6252
リテラ・クレア証券株式会社|関東財務局長(金商)第199号|03-6385-0601
デジタルアセット証券株式会社|関東財務局長(金商)第201号|03-6273-4201
シー・アイ・ビー・シー・ワールド・マーケッツ（ジャパン）インク|関東財務局長(金商)第218号|03-5414-5311
あい証券株式会社|関東財務局長(金商)第236号|03-3568-5088
ＪＦＸ株式会社|関東財務局長(金商)第238号|03-5541-6401
サクソバンク証券株式会社|関東財務局長(金商)第239号|03-6701-4601
株式会社ＦＸブロードネット|関東財務局長(金商)第244号|03-6275-6666
株式会社ＵＮＩＶＡ証券|関東財務局長(金商)第247号|03-6682-9827
あさひマーケッツ株式会社|関東財務局長(金商)第250号|03-3320-7111
ＩＧ証券株式会社|関東財務局長(金商)第255号|0120-965-915
クリエイトジャパン株式会社|関東財務局長(金商)第256号|03-5565-1351
ゴールデンウェイ・ジャパン株式会社|関東財務局長(金商)第258号|03-4577-6777
株式会社外為どっとコム|関東財務局長(金商)第262号|03-5733-3065
ＧＭＯ外貨株式会社|関東財務局長(金商)第271号|03-6221-0221
株式会社外為オンライン|関東財務局長(金商)第276号|03-6812-2222
セントラル短資ＦＸ株式会社|関東財務局長(金商)第278号|03-6631-7100
ＡＩゴールド証券株式会社|関東財務局長(金商)第282号|03-6861-8181
StoneX証券株式会社|関東財務局長(金商)第291号|03-5205-6161
ＦＯＲＥＸ　ＥＸＣＨＡＮＧＥ株式会社|関東財務局長(金商)第293号|03-3537-2311
豊トラスティ証券株式会社|関東財務局長(金商)第299号|03-3667-5211
Alpha Japan LO am 株式会社|関東財務局長(金商)第541号|03-6262-0290
ＫＯＹＯ証券株式会社|関東財務局長(金商)第1588号|03-5825-3731
フジトミ証券株式会社|関東財務局長(金商)第1614号|03－4589－5500
くにうみＡＩ証券株式会社|関東財務局長(金商)第1627号|03-5288-6766
株式会社ＤＭＭ．ｃｏｍ証券|関東財務局長(金商)第1629号|03-3517-3280
アヴァトレード・ジャパン株式会社|関東財務局長(金商)第1662号|03-4577-8900
めぶき証券株式会社|関東財務局長(金商)第1771号|029-233-1628
浜銀ＴＴ証券株式会社|関東財務局長(金商)第1977号|045-225-1133
株式会社マネーパートナーズ|関東財務局長(金商)第2028号|03-4540-3800
ＯＡＮＤＡ証券株式会社|関東財務局長(金商)第2137号|03-3262-5431
Ｔｅｎｅｏ　Ｐａｒｔｎｅｒｓ株式会社|関東財務局長(金商)第2315号|03-4550-2518
デューカスコピー・ジャパン株式会社|関東財務局長(金商)第2408号|03-4332-7430
ＪＰアセット証券株式会社|関東財務局長(金商)第2410号|03-5695-5681
ＪＩＡ証券株式会社|関東財務局長(金商)第2444号|03-6280-2251
ストームハーバー証券株式会社|関東財務局長(金商)第2473号|03-5114-8841
株式会社だいこう証券ビジネス|関東財務局長(金商)第2534号|03-5665-3040
ヘッジファンド証券株式会社|関東財務局長(金商)第2580号|03-6432-0046
株式会社アイ・アールジャパン|関東財務局長(金商)第2624号|03-3519-6750
ＳＢＩ ＦＸ トレード株式会社|関東財務局長(金商)第2635号|03-6229-0915
サンワード証券株式会社|関東財務局長(金商)第2789号|03-6887-7711
株式会社マネースクエア|関東財務局長(金商)第2797号|03-3470-5050
スコシア・セキュリティーズ・アジア・リミテッド|関東財務局長(金商)第2800号|03-5224-5455
グッゲンハイムパートナーズ株式会社|関東財務局長(金商)第2822号|03-4577-7880
ＰａｙＰａｙ証券株式会社|関東財務局長(金商)第2883号|03－6447－4915
ヴァンテージ・キャピタル・マーケッツ・ジャパン株式会社|関東財務局長(金商)第2936号|03-5405-6831
ぐんぎん証券株式会社|関東財務局長(金商)第2938号|027-289-3833
オービス・インベストメンツ株式会社|関東財務局長(金商)第2944号|03-6705-4920
株式会社ＦＵＮＤＩＮＮＯ|関東財務局長(金商)第2957号|03-6721-6691
株式会社ＦＯＬＩＯ|関東財務局長(金商)第2983号|03-6261-5152
トロント・ドミニオン日本証券株式会社|関東財務局長(金商)第2992号|03-4579-8000
株式会社ＣＦスタートアップス|関東財務局長(金商)第3000号|03-3527-3334
AlpacaJapan株式会社|関東財務局長(金商)第3024号|03-3518-9870
株式会社スマートプラス|関東財務局長(金商)第3031号|03-6261-6575
マレックス証券株式会社|関東財務局長(金商)第3047号|03-4563-1000
abc証券株式会社|関東財務局長(金商)第3063号|03-6262-0991
tsumiki証券株式会社|関東財務局長(金商)第3071号|03-5343-0134
アモーヴァ証券株式会社|関東財務局長(金商)第3081号|03-6447-6080
株式会社ユニコーン|関東財務局長(金商)第3110号|03-6826-2174
LINE証券株式会社|関東財務局長(金商)第3144号|03-4316-2230
エクイティファンディング株式会社|関東財務局長(金商)第3146号|03-4360-9255
イークラウド株式会社|関東財務局長(金商)第3181号|03-6281-8803
北辰物産株式会社|関東財務局長(金商)第3184号|03-3668-0811
GMOコイン株式会社|関東財務局長(金商)第3188号|03-6221-0219
楽天ウォレット株式会社|関東財務局長(金商)第3190号|050-5433-9259
きらぼしライフデザイン証券株式会社|関東財務局長(金商)第3198号|03-6447-5837
ロードスター証券株式会社|関東財務局長(金商)第3202号|03-5211-0505
アクサ・ウェルス・マネジメント株式会社|関東財務局長(金商)第3217号|03-6737-6209
Ｓｉｉｉｂｏ証券株式会社|関東財務局長(金商)第3230号|03-6280-4922
中国国際金融日本株式会社|関東財務局長(金商)第3235号|03-3201-6388
ＳＢＩ　ＶＣトレード株式会社|関東財務局長(金商)第3247号|03-6850-7835
カド・キャピタル・マネジメント株式会社|関東財務局長(金商)第3271号|03-6427-8327
三井物産デジタル・アセットマネジメント株式会社|関東財務局長(金商)第3277号|03-3527-2830
アイザワ証券株式会社|関東財務局長(金商)第3283号|03-6852-7711
株式会社bitFlyer|関東財務局長(金商)第3294号|03-6447-5569
ビットトレード株式会社|関東財務局長(金商)第3295号|03-6823-7626
岡地株式会社|関東財務局長(金商)第3296号|03-5540-8211
株式会社Custodiem|関東財務局長(金商)第3297号|03-6868-0151
CHEER証券株式会社|関東財務局長(金商)第3299号|03-3553-8143
株式会社リアライズ証券|関東財務局長(金商)第3312号|03-6804-2839
moomoo証券株式会社|関東財務局長(金商)第3335号|03-6845-3636
ブルーモ証券株式会社|関東財務局長(金商)第3384号|050-5526-6066
デジタル証券株式会社|関東財務局長(金商)第3471号|03-6804-9351
安藤証券株式会社|東海財務局長（金商）第1号|052-971-1511
岡地証券株式会社|東海財務局長（金商）第5号|052-261-6111
木村証券株式会社|東海財務局長（金商）第6号|052-241-4211
寿証券株式会社|東海財務局長（金商）第7号|052-261-0211
静岡東海証券株式会社|東海財務局長（金商）第8号|054-255-3340
静銀ティーエム証券株式会社|東海財務局長（金商）第10号|054-254-6111
新大垣証券株式会社|東海財務局長（金商）第11号|0584-81-1211
大万証券株式会社|東海財務局長（金商）第14号|052-231-7371
野畑証券株式会社|東海財務局長（金商）第18号|0564-23-5311
松阪証券株式会社|東海財務局長（金商）第19号|0598-26-2115
丸八証券株式会社|東海財務局長（金商）第20号|052-307-0808
豊証券株式会社|東海財務局長（金商）第21号|052-241-0123
百五証券株式会社|東海財務局長（金商）第134号|059-222-2105
十六ＴＴ証券株式会社|東海財務局長（金商）第188号|058-266-4516
OKB証券株式会社|東海財務局長（金商）第191号|0584-74-2755
大起証券株式会社|東海財務局長（金商）第195号|052-201-6311
石動証券株式会社|北陸財務局長（金商）第2号|0766-67-1111
今村証券株式会社|北陸財務局長（金商）第3号|076-263-5111
株式会社しん証券さかもと|北陸財務局長（金商）第5号|076-222-8088
島大証券株式会社|北陸財務局長（金商）第6号|076-423-8331
益茂証券株式会社|北陸財務局長（金商）第12号|0776-23-2830
三津井証券株式会社|北陸財務局長（金商）第14号|0776-22-2680
ほくほくＴＴ証券株式会社|北陸財務局長（金商）第24号|076-471-8277
永和証券株式会社|近畿財務局長（金商）第5号|06-6231-9311
岡安証券株式会社|近畿財務局長（金商）第8号|06-7637-0030
光世証券株式会社|近畿財務局長（金商）第14号|06-6209-0821
岩井コスモ証券株式会社|近畿財務局長（金商）第15号|06-6229-4600
篠山証券株式会社|近畿財務局長（金商）第16号|079-552-1160
内藤証券株式会社|近畿財務局長（金商）第24号|06-4803-6501
南都まほろば証券株式会社|近畿財務局長（金商）第25号|0742-30-0710
西村証券株式会社|近畿財務局長（金商）第26号|075-221-2155
播陽証券株式会社|近畿財務局長（金商）第29号|079-223-1010
光証券株式会社|近畿財務局長（金商）第30号|078-391-2305
広田証券株式会社|近畿財務局長（金商）第33号|06-6201-1181
丸近證券株式会社|近畿財務局長（金商）第35号|075-341-5111
ヒロセ通商株式会社|近畿財務局長（金商）第41号|06-6534-0708
岡安商事株式会社|近畿財務局長（金商）第304号|06-6222-0001
池田泉州ＴＴ証券株式会社|近畿財務局長（金商）第370号|06-6485-0031
京銀証券株式会社|近畿財務局長（金商）第392号|075-361-2220
株式会社コムテックス|近畿財務局長（金商）第406号|06-6543-2118
株式会社アステム|近畿財務局長（金商）第407号|06-4790-3401
大山日ノ丸証券株式会社|中国財務局長(金商)第5号|0857-21-1111
中銀証券株式会社|中国財務局長(金商)第6号|086-235-3441
ワイエム証券株式会社|中国財務局長(金商)第8号|083-223-0186
ひろぎん証券株式会社|中国財務局長(金商)第20号|082-245-5000
阿波証券株式会社|四国財務局長(金商)第1号|088-652-8111
香川証券株式会社|四国財務局長(金商)第3号|087-851-8181
徳島合同証券株式会社|四国財務局長(金商)第5号|088-625-7171
二浪証券株式会社|四国財務局長(金商)第6号|089-941-5191
三豊証券株式会社|四国財務局長(金商)第7号|0875-25-1212
四国アライアンス証券株式会社|四国財務局長(金商)第21号|089-921-5201
大熊本証券株式会社|九州財務局長（金商）第1号|096-325-4141
九州ＦＧ証券株式会社|九州財務局長（金商）第18号|096-277-1311
ＦＦＧ証券株式会社|福岡財務支局長(金商)第5号|092-771-3836
西日本シティＴＴ証券株式会社|福岡財務支局長(金商)第75号|092-707-3000
おきぎん証券株式会社|沖縄総合事務局長(金商)第1号|098-862-6125
